name,category,area,description,rating,latitude,longitude,sentiment_score,normalized_rating,final_score
Kachori Wala,Food,Vaishali Nagar Jaipur,"Crispy kachoris, very popular among morning walkers.",5,26.912,75.7378,0.78,1.0,0.912
Raju Kulfi,Food,Civil Lines Jaipur,"Homemade kulfi, seasonal flavors, loved by families.",5,26.9129,75.7873,0.7,1.0,0.8799999999999999
Hidden Stepwell,Culture,Near Amer Fort Jaipur,Less-known historical stepwell with beautiful architecture.,5,26.985,75.85,0.425,1.0,0.77
Gulab Ji Chaat,Food,Bapu Bazaar Jaipur,"Hidden chaat corner famous among locals, hygienic and tasty.",5,26.9221,75.8235,0.16666666666666669,1.0,0.6666666666666666
Sharma Tea Stall,Food,MI Road Jaipur,Very affordable tea with amazing taste. Locals love this place.,4,26.9167,75.8187,0.43333333333333335,0.8,0.6533333333333333
Sanjay Mochi Repair,Service,Chandpole Jaipur,Old local shoe repair shop with excellent workmanship.,4,26.9253,75.823,0.3666666666666667,0.8,0.6266666666666667
Village Pottery Shed,Culture,Sanganer Jaipur,Local artisans creating traditional clay pottery.,5,26.819,75.8,0.0,1.0,0.6
Local Spice Market,Market,Johari Bazaar Jaipur,Traditional spice market with authentic local flavors.,4,26.9239,75.8267,0.16666666666666666,0.8,0.5466666666666666
Anokhi Handicrafts,Shop,Amer Road Jaipur,Small shop selling authentic handmade Rajasthani items.,4,26.9855,75.8513,0.125,0.8,0.53
Handloom Corner,Shop,Tonk Road Jaipur,Hidden handloom store with pure cotton fabrics.,4,26.8456,75.8061,0.023809523809523808,0.8,0.4895238095238095
